x86,arm,code
b800000000 e81d060000,94000251
90 5d c3,d503201f a8c17bfd d65f03c0
55 4889e5,a9bf7bfd 910003fd
bf62204000 e8cffdffff,b0000000 9112e000 97ffff47
c705a52f000000000000 eb34 8b05782f0000 83c001 89056f2f0000 8b15692f0000 8b056f2f0000 39c2 7cbc,d0000080 91078000 b900001f 14000015 d0000080 91078000 b9400000 11000401 d0000080 91078000 b9000001 d0000080 91078000 b9400001 d0000080 9107b000 b9400000 6b00003f 54fffcab
8b059d2f0000 4898 48c1e002 480580404000 8b00 89c6 bf7c204000 b800000000 e8aefdffff,d0000080 91078000 b9400000 93407c00 d37ef401 d0000080 91014000 8b000020 b9400000 2a0003e1 b0000000 91136000 97ffff3e
b800000000 e8b2050000,94000228
90 5d c3,d503201f a8c17bfd d65f03c0
55 4889e5,a9bf7bfd 910003fd
bf80204000 b800000000 e86ffdffff,b0000000 91138000 97ffff26
be18424000 bf39204000 b800000000 e86bfdffff,d0000080 9107a001 b0000000 91120000 97ffff1d
8b052d2f0000 83e801 8905242f0000,d0000080 9107a000 b9400000 51000401 d0000080 9107a000 b9000001
8b15222f0000 8b05182f0000 39c2 7f14,d0000080 9107b000 b9400001 d0000080 9107a000 b9400000 6b00003f 540000ac
bf3c204000 e822fdffff,b0000000 91122000 97ffff07
b800000000 e855050000,94000208
8b05fa2e0000 8905ec2e0000 eb31 8b05c22e0000 83c001 8905b92e0000 8b15b32e0000 8b05b92e0000 39c2 7cbf,d0000080 9107a000 b9400001 d0000080 91078000 b9000001 14000017 d0000080 91078000 b9400000 11000401 d0000080 91078000 b9000001 d0000080 91078000 b9400001 d0000080 9107b000 b9400000 6b00003f 54fffc6b
8b05e42e0000 83c001 8b0ddb2e0000 4898 8b148580404000 4863c1 89148580404000,d0000080 91078000 b9400000 11000401 d0000080 91078000 b9400003 d0000080 91014000 93407c21 b8617802 d0000080 91014000 93407c61 b8217802
bfb0204000 e8bffcffff,b0000000 91144000 97fffede
8b05a52e0000 83e801 89059c2e0000,d0000080 9107b000 b9400000 51000401 d0000080 9107b000 b9000001
b800000000 e8e3040000,940001d8
90 5d c3,d503201f a8c17bfd d65f03c0
55 4889e5,a9bf7bfd 910003fd
bfc8204000 b800000000 e8a0fcffff,b0000000 9114a000 97fffed6
be18424000 bf39204000 b800000000 e89cfcffff,d0000080 9107a001 b0000000 91120000 97fffecd
8b155e2e0000 8b055c2e0000 39c2 7e14,d0000080 9107a000 b9400001 d0000080 9107b000 b9400000 6b00003f 540000ad
bf3c204000 e862fcffff,b0000000 91122000 97fffebe
b800000000 e895040000,940001bf
bff2204000 b800000000 e859fcffff,b0000000 91156000 97fffec2
be20424000 bf39204000 b800000000 e855fcffff,d0000080 9107c001 b0000000 91120000 97fffeb9
8b05172e0000 8b15192e0000 4898 89148580404000,d0000080 9107a000 b9400001 d0000080 9107c000 b9400002 d0000080 91014000 93407c21 b8217802
90 5d c3,d503201f a8c17bfd d65f03c0
55 4889e5,a9bf7bfd 910003fd
bf10214000 e80ffcffff,b0000000 9115c000 97fffea3
be20424000 bf39204000 b800000000 e81bfcffff,d0000080 9107c001 b0000000 91120000 97fffea2
c705d12d000000000000 eb4e 8b058a2d0000 83c001 8905812d0000 8b157b2d0000 8b05812d0000 39c2 7ca2,d0000080 91078000 b900001f 14000021 d0000080 91078000 b9400000 11000401 d0000080 91078000 b9000001 d0000080 91078000 b9400001 d0000080 9107b000 b9400000 6b00003f 54fffb2b
8b05c92d0000 4898 8b148580404000 8b05ca2d0000 39c2 7526,d0000080 91078000 b9400001 d0000080 91014000 93407c21 b8617801 d0000080 9107c000 b9400000 6b00003f 540001c1
8b05b02d0000 83c001 89c6 bf38214000 b800000000 e8ccfbffff,d0000080 91078000 b9400000 11000400 2a0003e1 b0000000 91166000 97fffe8e
c705a62d000014000000,d0000080 9107d000 52800281 b9000001
eb1f,14000010
8b057f2d0000 83f814 740f,d0000080 9107d000 b9400000 7100501f 54000080
bf5b214000 b800000000 e887fbffff,b0000000 91170000 97fffe72
b800000000 e8aa030000,9400016b
90 5d c3,d503201f a8c17bfd d65f03c0
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf08204000 e8e8feffff,90000000 91206000 97ffffb2,"    printf(""Enter two numbers a and b respectively\n"");
"
488d55f8 488d45fc 4889c6 bf2f204000 b800000000 e8defeffff,910063e1 910073e0 aa0103e2 aa0003e1 90000000 91210000 97ffffaf,"    scanf(""%d%d"",&a,&b);
"
8b55fc 8b45f8 39c2 7e0c,b9401fe1 b9401be0 6b00003f 540000ad,"    if (a>b)
"
bf34204000 e8bafeffff eb0a,90000000 91212000 97ffffa4 14000004,"        printf(""a is greater than b\n"");
"
bf48204000 e8aefeffff,90000000 91218000 97ffffa0,"        printf(""a is smaller than b\n"");
"
8b55fc 8b45f8 39c2 7c0c,b9401fe1 b9401be0 6b00003f 540000ab,"    if (a>=b)
"
bf5c204000 e89afeffff eb0a,90000000 9121e000 97ffff99 14000004,"        printf(""a is greater than equal to b\n"");
"
bf80204000 e88efeffff,90000000 91226000 97ffff95,"        printf(""a is not greater than equal to b\n"");
"
8b55fc 8b45f8 39c2 7d0c,b9401fe1 b9401be0 6b00003f 540000aa,"    if (a<b)
"
bfa1204000 e87afeffff eb0a,90000000 91230000 97ffff8e 14000004,"        printf(""a is less than b\n"");
"
bf34204000 e86efeffff,90000000 91212000 97ffff8a,"        printf(""a is greater than b\n"");
"
8b55fc 8b45f8 39c2 7f0c,b9401fe1 b9401be0 6b00003f 540000ac,"    if (a<=b)
"
bfb2204000 e85afeffff eb0a,90000000 91236000 97ffff83 14000004,"        printf(""a is less than equal to b\n"");
"
bf5c204000 e84efeffff,90000000 9121e000 97ffff7f,"        printf(""a is greater than equal to b\n"");
"
8b55fc 8b45f8 39c2 750c,b9401fe1 b9401be0 6b00003f 540000a1,"    if (a==b)
"
bfcc204000 e83afeffff eb0a,90000000 9123e000 97ffff78 14000004,"        printf(""a is equal to b\n"");
"
bfdc204000 e82efeffff,90000000 91242000 97ffff74,"        printf(""a is not equal to b\n"");
"
8b55fc 8b45f8 39c2 740c,b9401fe1 b9401be0 6b00003f 540000a0,"    if (a!=b)
"
bfdc204000 e81afeffff eb0a,90000000 91242000 97ffff6d 14000004,"        printf(""a is not equal to b\n"");
"
bfcc204000 e80efeffff,90000000 9123e000 97ffff69,"        printf(""a is equal to b\n"");
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f8000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{ float a,b,h;
"
bf08204000 b800000000 e8e3feffff,90000000 911d8000 97ffffb6,"printf(""Enter the base : "");
"
488d45f8 4889c6 bf1a204000 b800000000 e8ddfeffff,910063e0 aa0003e1 90000000 911de000 97ffffad,"scanf(""%f"",&b);
"
bf1d204000 b800000000 e8befeffff,90000000 911e0000 97ffffae,"printf(""Enter the height : "");
"
488d45f4 4889c6 bf1a204000 b800000000 e8b8feffff,910053e0 aa0003e1 90000000 911de000 97ffffa5,"scanf(""%f"",&h);
"
f30f1045f8 660fefc9 f30f5ac8 f20f1005a30e0000 f20f59c8 f30f1045f4 f30f5ac0 f20f59c1 f20f5ac0 f30f1145fc,bd401be0 1e22c001 1e6c1000 1e600821 bd4017e0 1e22c000 1e600820 1e624000 bd001fe0,"a=0.5*b*h;
"
660fefd2 f30f5a55fc 66480f7ed0 66480f6ec0 bf31204000 b801000000 e857feffff,bd401fe0 1e22c000 90000000 911e6000 97ffff9b,"printf(""Area is %f"",a);
"
90 c9 c3 0f1f4000,d503201f a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf08204000 e8d8feffff,90000000 911e4000 97ffffb2,"    printf(""Enter Principal Amount, Rate of interest and Time Respectively\n"");
"
488d4df0 488d55f4 488d45f8 4889c6 bf47204000 b800000000 e8dafeffff,910043e2 910053e1 910063e0 aa0203e3 aa0103e2 aa0003e1 90000000 911f4000 97ffffad,"    scanf(""%f%f%f"", &PrincipleAmount, &Rate, &Time);
"
f30f104df8 f30f1045f4 f30f59c8 f30f1045f0 f30f59c1 f30f100dd30e0000 f30f5ec1 f30f1145fc,bd401be1 bd4017e0 1e200821 bd4013e0 1e200820 52a85900 1e270001 1e211800 bd001fe0,"    SimpleInterest = (PrincipleAmount * Rate * Time)/ 100;
"
660fefd2 f30f5a55fc 66480f7ed0 66480f6ec0 bf4e204000 b801000000 e880feffff,bd401fe0 1e22c000 90000000 911f6000 97ffffa3,"    printf(""Simple Interest is :%f"",SimpleInterest);
"
b800000000,52800000,"    return 0;
"
c9 c3 660f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc05000000,528000a0 b9001fe0,"    int a= 5, b, c;
"
8b45fc 8d50ff 8955fc 8945f8,b9401fe0 51000401 b9001fe1 b9001be0,"    b = a--;
"
8b45fc 8d50ff 8955fc 8945f4,b9401fe0 51000401 b9001fe1 b90017e0,"    c = a--;
"
8b55f4 8b45f8 89c6 bf08204000 b800000000 e8ccfeffff,b94017e2 b9401be1 90000000 911ba000 97ffffa6,"    printf(""Value of b = %d\n Value of c = %d\n"", b,c);
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f440000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"  int main() {
"
c745fc00000000,b9001fff,"    int num, reverse = 0, remainder;
"
bf08204000 e8d1feffff,90000000 911fc000 97ffffb1,"    printf(""Enter a number\n"");
"
488d45f4 4889c6 bf17204000 b800000000 e8dbfeffff,910053e0 aa0003e1 90000000 91200000 97ffffb0,"    scanf(""%d"", & num);
"
eb63 8b45f4 85c0 7596,14000021 b94017e0 7100001f 54fffbc1,"    while (num != 0) {
"
8b55f4 4863c2 4869c067666666 48c1e820 c1f802 89d1 c1f91f 29c8 8945f8 8b4df8 89c8 c1e002 01c8 01c0 29c2 8955f8,b94017e1 528ccce0 72acccc0 9b207c20 d360fc00 13027c02 131f7c20 4b000042 2a0203e0 531e7400 0b020000 531f7800 4b000020 b9001be0,"      remainder = num % 10;
"
8b55fc 89d0 c1e002 01d0 01c0 89c2 8b45f8 01d0 8945fc,b9401fe1 2a0103e0 531e7400 0b010000 531f7800 2a0003e1 b9401be0 0b010000 b9001fe0,"      reverse = reverse * 10 + remainder;
"
8b45f4 4863d0 4869d267666666 48c1ea20 89d1 c1f902 99 89c8 29d0 8945f4,b94017e0 528ccce1 72acccc1 9b217c01 d360fc21 13027c21 131f7c00 4b000020 b90017e0,"      num = num / 10;
"
8b45fc 89c6 bf20204000 b800000000 e84bfeffff,b9401fe1 90000000 91202000 97ffff8c,"    printf(""Reverse of the number is : %d\n"", reverse);
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f4000,a8c27bfd d65f03c0,"  }
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
bf08204000 e8d8feffff,90000000 9120c000 97ffffb2,"    printf(""Enter the day number\n"");
"
488d45fc 4889c6 bf1d204000 b800000000 e8e2feffff,910073e0 aa0003e1 90000000 91212000 97ffffb1,"    scanf(""%d"", &day);
"
8b45fc 83f807 0f8783000000 89c0 488b04c598204000 ffe0,b9401fe0 71001c1f 54000600 71001c1f 5400064c 7100181f 54000500 7100181f 540005cc 7100141f 54000400 7100141f 5400054c 7100101f 54000300 7100101f 540004cc 71000c1f 54000200 71000c1f 5400044c 7100041f 54000080 7100081f 540000c0 1400001d,"    switch(day)
"
bf20204000 b800000000 e8abfeffff,90000000 91214000 97ffff98,"        printf(""Day is Monday"");
"
eb75,1400001c,"        break;
"
bf2e204000 b800000000 e89afeffff,90000000 91218000 97ffff94,"        printf(""Day is Tuesday"");
"
eb64,14000018,"        break;
"
bf3d204000 b800000000 e889feffff,90000000 9121c000 97ffff90,"        printf(""Day is Wednesday"");
"
eb53,14000014,"        break;
"
bf4e204000 b800000000 e878feffff,90000000 91222000 97ffff8c,"        printf(""Day is Thrusday"");
"
eb42,14000010,"        break;
"
bf5e204000 b800000000 e867feffff,90000000 91226000 97ffff88,"        printf(""Day is Friday"");
"
eb31,1400000c,"        break;
"
bf6c204000 b800000000 e856feffff,90000000 9122a000 97ffff84,"        printf(""Day is Saturday"");
"
eb20,14000008,"        break;
"
bf7c204000 b800000000 e845feffff,90000000 9122e000 97ffff80,"        printf(""Day is Sunday"");
"
eb0f,14000004,"        break;
"
bf8a204000 b800000000 e834feffff,90000000 91232000 97ffff7c,"        printf(""Wrong choice"");
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000 0f1f00,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"int main(){
"
bf08204000 e8d8feffff,90000000 9120e000 97ffffb2,"	printf(""Please provide the first numerator:\n"");
"
488d45f4 4889c6 bf2c204000 b800000000 e8e2feffff,910093e0 aa0003e1 90000000 91218000 97ffffb1,"	scanf(""%d"",&numerator1);
"
bf30204000 e8b8feffff,90000000 9121a000 97ffffaa,"	printf(""Please provide the first denominator:\n"");
"
488d45ec 4889c6 bf2c204000 b800000000 e8c2feffff,910073e0 aa0003e1 90000000 91218000 97ffffa9,"	scanf(""%d"",&denominator1);
"
bf58204000 e898feffff,90000000 91224000 97ffffa2," 	printf(""Please provide the second numerator:\n"");
"
488d45f0 4889c6 bf2c204000 b800000000 e8a2feffff,910083e0 aa0003e1 90000000 91218000 97ffffa1,"        scanf(""%d"",&numerator2);
"
bf80204000 e878feffff,90000000 9122e000 97ffff9a,"	printf(""Please provide the second denominator:\n"");
"
488d45e8 4889c6 bf2c204000 b800000000 e882feffff,910063e0 aa0003e1 90000000 91218000 97ffff99,"	scanf(""%d"",&denominator2);
"
8b55ec 8b45e8 39c2 7513,b9401fe1 b9401be0 6b00003f 54000101,"	if ( denominator1 == denominator2 ) {
"
8b55f4 8b45f0 01d0 8945fc,b94027e1 b94023e0 0b000020 b9002fe0,"		num_result = numerator1 + numerator2;
"
8b45ec 8945f8 eb25,b9401fe0 b9002be0 1400000d,"		denom_result = denominator1; /*  or 2, they are equal */
"
8b55f4 8b45e8 89d1 0fafc8 8b55f0 8b45ec 0fafc2 01c8 8945fc,b94027e1 b9401be0 1b007c21 b94023e2 b9401fe0 1b007c40 0b000020 b9002fe0,"		num_result = (numerator1 * denominator2) + (numerator2 * denominator1 );
"
8b55ec 8b45e8 0fafc2 8945f8,b9401fe1 b9401be0 1b007c20 b9002be0,"		denom_result = denominator1 * denominator2;
"
8b7de8 8b4df0 8b55ec 8b45f4 448b45fc 4883ec08 8b75f8 56 4589c1 4189f8 89c6 bfa8204000 b800000000 e801feffff 4883c410,b94027e0 b9401fe1 b94023e2 b9401be3 b9402be6 b9402fe5 2a0303e4 2a0203e3 2a0103e2 2a0003e1 90000000 91238000 97ffff79,"	printf(""The result of %d / %d  + %d / %d  is: %d / %d \n"", numerator1,denominator1, numerator2, denominator2,num_result,denom_result);
"
b800000000,52800000,"	return 0;
"
c9 c3 660f1f440000,a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"  int main() {
"
bf08204000 e8d8feffff,90000000 911f0000 97ffffb2,"    printf(""Enter a character\n"");
"
488d45ff 4889c6 bf1a204000 b800000000 e8e2feffff,91007fe0 aa0003e1 90000000 911f6000 97ffffb1,"    scanf(""%c"", & ch);
"
0fb645ff 3c40 7e08 0fb645ff 3c5a 7e10 0fb645ff 3c60 7e19 0fb645ff 3c7a 7f11,39407fe0 7101001f 54000089 39407fe0 7101681f 540000e9 39407fe0 7101801f 54000109 39407fe0 7101e81f 540000a8,"    if ((ch >= 65 && ch <= 90) || (ch >= 97 && ch <= 122))
"
bf20204000 b800000000 e8a3feffff eb30,90000000 911f8000 97ffffa6 1400000e,"      printf(""Entered character is an alphabet"");
"
0fb645ff 3c2f 7e19 0fb645ff 3c39 7f11,39407fe0 7100bc1f 54000109 39407fe0 7100e41f 540000a8,"    else if (ch >= 48 && ch <= 57)
"
bf41204000 b800000000 e882feffff eb0f,90000000 91202000 97ffff9c 14000004,"      printf(""Entered character is a digit"");
"
bf60204000 b800000000 e871feffff,90000000 9120a000 97ffff98,"      printf(""Entered character is a special symbol"");
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000,a8c27bfd d65f03c0,"  }
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"  int main() {
"
bf08204000 e8c8feffff,90000000 91254000 97ffffa2,"    printf(""enter two number\n"");
"
488d55f4 488d45f8 4889c6 bf19204000 b800000000 e8defeffff,910053e1 910063e0 aa0103e2 aa0003e1 90000000 9125a000 97ffff9f,"    scanf(""%d%d"", & a, & b);
"
488b05c72e0000 4889c7 e8bffeffff,b0000080 91014000 f9400000 97ffff9f,"    fflush(stdin);
"
bf1e204000 e895feffff,90000000 9125c000 97ffff94,"    printf(""enter your choice\n"");
"
bf30204000 e88bfeffff,90000000 91262000 97ffff91,"    printf(""1. enter 1 for addition\n"");
"
bf48204000 e881feffff,90000000 91268000 97ffff8e,"    printf(""2. enter 2 for subtraction\n"");
"
bf63204000 e877feffff,90000000 91270000 97ffff8b,"    printf(""3. enter 3 for multiplication\n"");
"
bf81204000 e86dfeffff,90000000 91278000 97ffff88,"    printf(""4. Enter 4 for division\n"");
"
bfa0204000 e863feffff,90000000 9127e000 97ffff85,"    printf(""5. enter 5 for modulo division\n"");
"
488d45f3 4889c6 bfbf204000 b800000000 e87dfeffff,91004fe0 aa0003e1 90000000 91286000 97ffff84,"    scanf(""%c"", & ch);
"
0fb645f3 0fbec0 83e831 83f804 7750 89c0 488b04c5e8204000 ffe0,39404fe0 7100d41f 54000480 7100d41f 5400052c 7100d01f 54000360 7100d01f 540004ac 7100cc1f 54000240 7100cc1f 5400042c 7100c41f 54000080 7100c81f 540000e0 1400001c,"    switch (ch) {
"
8b55f8 8b45f4 01d0 8945fc,b9401be1 b94017e0 0b000020 b9001fe0,"      c = a + b;
"
eb46,1400001a,"      break;
"
8b55f8 8b45f4 29c2 8955fc,b9401be1 b94017e0 4b000020 b9001fe0,"      c = a - b;
"
eb39,14000015,"      break;
"
8b55f8 8b45f4 0fafc2 8945fc,b9401be1 b94017e0 1b007c20 b9001fe0,"      c = a * b;
"
eb2b,14000010,"      break;
"
8b45f8 8b4df4 99 f7f9 8945fc,b9401be1 b94017e0 1ac00c20 b9001fe0,"      c = a / b;
"
eb1d,1400000b,"      break;
"
8b45f8 8b4df4 99 f7f9 8955fc,b9401be0 b94017e1 1ac10c02 1b017c41 4b010000 b9001fe0,"      c = a % b; //Modulus division only works with integers.
"
eb0f,14000004,"      break;
"
bfc2204000 b800000000 e8effdffff,90000000 91288000 97ffff5c,"      printf(""wrong choice"");
"
8b45fc 89c6 bfcf204000 b800000000 e8dbfdffff,b9401fe1 90000000 9128c000 97ffff58,"    printf(""calculated value=%d"", c);
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f4000,a8c27bfd d65f03c0,"  }
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc05000000,528000a0 b9001fe0,"    int a = 5;
"
c645fb58,52800b00 39006fe0,"    char ch = 'X';    // Capital X
"
be04000000 bf04204000 b800000000 e8e3feffff,d2800081 90000000 911b6000 97ffffad,"    printf(""Size of a : %d Bytes\n"" ,sizeof(a));
"
be01000000 bf1a204000 b800000000 e8cffeffff,d2800021 90000000 911bc000 97ffffa9,"    printf(""Size of X : %d Bytes\n"",sizeof(ch));
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
bf08204000 e8d8feffff,90000000 911ec000 97ffffb2,"    printf(""Enter a character\n"");
"
488d45ff 4889c6 bf1a204000 b800000000 e8e2feffff,91007fe0 aa0003e1 90000000 911f2000 97ffffb1,"    scanf(""%c"", &ch);
"
0fb645ff 0fbec0 83e841 83f834 0f97c2 84d2 7530 48ba1141100011411000 89c1 48d3ea 4889d0 83e001 4885c0 0f95c0 84c0 7411,39407fe0 51010400 7100d01f 1a9f97e1 12001c21 7100003f 54000201 d2882221 f2a00201 f2c82221 f2e00201 9ac02420 92400000 f100001f 1a9f07e0 12001c00 7100001f 540000a0,"    switch(ch)
"
bf1d204000 b800000000 e890feffff,90000000 911f4000 97ffffa0,"        printf(""Entered character is a vowel"");
"
eb0f,14000004,"        break;
"
bf40204000 b800000000 e87ffeffff,90000000 911fc000 97ffff9c,"        printf(""Entered character is a consonant"");
"
b800000000,52800000,"    return 0;
"
c9 c3 0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf08204000 e8d8feffff,90000000 911ec000 97ffffb2,"    printf(""enter radius :\n"");
"
488d45f4 4889c6 bf17204000 b800000000 e8e2feffff,910053e0 aa0003e1 90000000 911f0000 97ffffb1,"    scanf(""%f"", &r);
"
f30f1045f4 660fefc9 f30f5ac8 f20f1005bd0e0000 f20f59c8 f30f1045f4 f30f5ac0 f20f59c1 f20f5ac0 f30f1145fc,bd4017e0 1e22c000 90000000 fd43f401 1e610801 bd4017e0 1e22c000 1e600820 1e624000 bd001fe0,"    a = 3.14*r*r;
"
f30f1045f4 660fefc9 f30f5ac8 f20f1005960e0000 f20f59c1 f20f5ac0 f30f1145f8,bd4017e0 1e22c000 90000000 fd43f801 1e610800 1e624000 bd001be0,"    c = 2*3.14*r;
"
660fefc0 f30f5a45f8 660fefd2 f30f5a55fc 66480f7ed0 660f28c8 66480f6ec0 bf20204000 b802000000 e852feffff,bd401fe0 1e22c002 bd401be0 1e22c000 1e604001 1e604040 90000000 911f2000 97ffff9b,"    printf(""Area = %f\n circumference = %f\n"",a,c);
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000 90,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
c745fc07000000 c745f802000000,528000e0 b9001fe0 52800040 b9001be0,"    int a=7, b=2,c;
"
8b45f8 8b55fc 89c1 d3e2 89d0 8945f4,b9401be0 b9401fe1 1ac02020 b90017e0,"    c = a<<b;
"
8b45f4 89c6 bf04204000 b800000000 e8d1feffff,b94017e1 90000000 911b6000 97ffffa9,"    printf(""Value of c = %d\n"",c);
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec30 897dec 488975e0 488955d8,a9bc7bfd 910003fd b9002fe0 f90013e1 f9000fe2,"int main(int argc, char **argv, char **environ){
"
c745fcffffffff,12800000 b9003fe0,"	int i = -1;
"
eb1f 8345fc01 8b45fc 4898 488d14c500000000 488b45d8 4801d0 488b00 4885c0 75c1 b800000000,14000007 b9403fe0 11000400 b9003fe0 b9803fe0 d37df000 f9400fe1 8b000020 f9400000 f100001f 54fffe21 52800000,"	while (environ[++i])
"
8b45fc 4898 488d14c500000000 488b45d8 4801d0 488b00 4889c7 e8cffeffff,b9803fe0 d37df000 f9400fe1 8b000020 f9400000 97ffffa9,"		printf(""%s\n"",environ[i]);
"
c9 c3 0f1f840000000000,a8c47bfd d65f03c0,"}
"
55 4889e5 4883ec20,a9bd7bfd 910003fd,"int main(){
"
bf08204000 e8d8feffff,90000000 91234000 97ffffb2,"    printf(""Enter basic salary of employee\n"");
"
488d45ec 4889c6 bf27204000 b800000000 e8e2feffff,910073e0 aa0003e1 90000000 9123c000 97ffffb1,"    scanf(""%f"", &BaseSalary);
"
f30f1045ec 660fefc9 f30f5ac8 f20f1005fd0e0000 f20f59c1 f20f5ac0 f30f1145fc,bd401fe0 1e22c000 90000000 fd44b801 1e610800 1e624000 bd002fe0,"    TA  = 0.05 * BaseSalary;
"
f30f1045ec 660fefc9 f30f5ac8 f20f1005e30e0000 f20f59c1 f20f5ac0 f30f1145f8,bd401fe0 1e22c000 b200e7e0 f2e7f660 9e670001 1e610800 1e624000 bd002be0,"    DA  = 0.075 * BaseSalary;
"
f30f1045ec 660fefc9 f30f5ac8 f20f1005c90e0000 f20f59c1 f20f5ac0 f30f1145f4,bd401fe0 1e22c000 90000000 fd44bc01 1e610800 1e624000 bd0027e0,"    HRA = 0.1 * BaseSalary;
"
f30f1045ec f30f5845fc f30f5845f8 f30f104df4 f30f58c1 f30f1145f0,bd401fe1 bd402fe0 1e202821 bd402be0 1e202820 bd4027e1 1e202820 bd0023e0,"    GrossSalary = BaseSalary + TA + DA + HRA;
"
f30f1045f0 0f2f059b0e0000 7214,bd4023e0 528a0000 72a8f860 1e270001 1e212010 5400004a 14000005,"    if (GrossSalary >= 100000)
"
bf2a204000 b800000000 e832feffff e996000000,90000000 9123e000 97ffff8d 1400003a,"        printf(""A grade employee"");
"
f30f1045f0 0f2f057d0e0000 721f f30f10056f0e0000 0f2f45f0 7611,bd4023e0 528f8000 72a8f240 1e270001 1e212010 5400004a 1400000c bd4023e0 528a0000 72a8f860 1e270001 1e212010 54000044 14000005,"    else if (GrossSalary >= 75000 && GrossSalary < 100000)
"
bf3b204000 b800000000 e802feffff eb69,90000000 91244000 97ffff7b 14000028,"        printf(""B grade employee"");
"
f30f1045f0 0f2f05540e0000 721f f30f1005460e0000 0f2f45f0 7611,bd4023e0 528a0000 72a8e860 1e270001 1e212010 5400004a 1400000c bd4023e0 528f8000 72a8f240 1e270001 1e212010 54000044 14000005,"    else if (GrossSalary >=50000 && GrossSalary < 75000)
"
bf4c204000 b800000000 e8d5fdffff eb3c,90000000 9124a000 97ffff69 14000016,"        printf(""C grade employee"");
"
f30f1045f0 0f2f052b0e0000 721f f30f10051d0e0000 0f2f45f0 7611,bd4023e0 52880000 72a8d380 1e270001 1e212010 5400004a 1400000c bd4023e0 528a0000 72a8e860 1e270001 1e212010 54000044 14000005,"    else if (GrossSalary >= 20000 && GrossSalary < 50000)
"
bf5d204000 b800000000 e8a8fdffff eb0f,90000000 91250000 97ffff57 14000004,"        printf(""D grade employee"");
"
bf6e204000 b800000000 e897fdffff,90000000 91256000 97ffff53,"        printf(""E grade employee"");
"
b800000000,52800000,"    return 0;
"
c9 c3,a8c37bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){  
"
bf08204000 b800000000 e8e3feffff,90000000 9127c000 97ffffb6,"    printf(""Please Enter the Number = "");    
"
488d45f8 4889c6 bf23204000 b800000000 e8ddfeffff,910063e0 aa0003e1 90000000 91284000 97ffffad,"    scanf(""%ld"",&n);
"
488b45f8 4889c7 e807000000 b800000000,f9400fe0 94000004 52800000,"    convertNumbertoChar(n); /* It's important to break your code in bloks,
"
c9 c3,a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec20 48897de8,a9bd7bfd 910003fd f9000fe0,"void convertNumbertoChar(long int n){   
"
48c745f800000000,f90017ff,"    long int r,sum = 0;
"
e981000000 48837de800 0f8f74ffffff,1400001f f9400fe0 f100001f 54fffc0c,"    while(n > 0){               // This loop change the position of number so we can print in the righ order
"
488b4de8 48ba6766666666666666 4889c8 48f7ea 48c1fa02 4889c8 48c1f83f 4829c2 4889d0 48c1e002 4801d0 4801c0 4829c1 4889ca 488955f0,f9400fe1 b203e7e0 f28ccce0 9b407c20 9342fc02 937ffc20 cb000042 aa0203e0 d37ef400 8b020000 d37ff800 cb000020 f90013e0,"        r = (n % 10);           // Decompose the number
"
488b55f8 4889d0 48c1e002 4801d0 4801c0 4889c2 488b45f0 4801d0 488945f8,f94017e1 aa0103e0 d37ef400 8b010000 d37ff800 aa0003e1 f94013e0 8b010000 f90017e0,"        sum = (sum * 10) + r;   // To compose the number     
"
